codigo_ipress,anio,mes,servicios_d,servicios_con_camas_validas,suma_total_camas_d,max_total_camas_d,CA_CAMAS,estado_calidad_a,diferencia_suma_total_camas_d,diferencia_pct_suma_total_camas_d,diferencia_max_total_camas_d,diferencia_pct_max_total_camas_d
00005883,2016,3,6,6,46.0,16.0,45.0,UNICA,1.0,2.2222222222222223,-29.0,-64.44444444444444
00005883,2016,4,6,6,46.0,16.0,46.0,UNICA,0.0,0.0,-30.0,-65.21739130434783
00005883,2016,5,6,6,46.0,16.0,46.0,UNICA,0.0,0.0,-30.0,-65.21739130434783
00005883,2016,6,6,6,46.0,16.0,46.0,UNICA,0.0,0.0,-30.0,-65.21739130434783
00005883,2016,7,6,6,46.0,16.0,46.0,UNICA,0.0,0.0,-30.0,-65.21739130434783
00005883,2016,8,6,6,46.0,16.0,46.0,UNICA,0.0,0.0,-30.0,-65.21739130434783
00005883,2016,9,6,6,51.0,16.0,51.0,UNICA,0.0,0.0,-35.0,-68.62745098039215
00005883,2016,10,6,6,51.0,16.0,51.0,UNICA,0.0,0.0,-35.0,-68.62745098039215
00005883,2016,11,6,6,51.0,16.0,51.0,UNICA,0.0,0.0,-35.0,-68.62745098039215
00005883,2016,12,6,6,51.0,16.0,51.0,UNICA,0.0,0.0,-35.0,-68.62745098039215
00005883,2017,1,4,4,32.0,16.0,51.0,UNICA,-19.0,-37.254901960784316,-35.0,-68.62745098039215
00005883,2017,2,6,6,51.0,16.0,51.0,UNICA,0.0,0.0,-35.0,-68.62745098039215
00005883,2017,3,6,6,51.0,16.0,51.0,UNICA,0.0,0.0,-35.0,-68.62745098039215
00005883,2017,4,6,6,51.0,16.0,51.0,UNICA,0.0,0.0,-35.0,-68.62745098039215
00005883,2017,5,6,6,51.0,16.0,51.0,UNICA,0.0,0.0,-35.0,-68.62745098039215
00005883,2017,6,6,6,51.0,16.0,51.0,UNICA,0.0,0.0,-35.0,-68.62745098039215
00005883,2017,7,6,6,51.0,16.0,51.0,UNICA,0.0,0.0,-35.0,-68.62745098039215
