codigo_ipress,anio,mes,_archivo,_registro,variable,anterior,actual,diferencia
00004128,2024,4,data\raw\Capacidad\ConsultaA_2024_v22.csv,17761,CA_CAMAS,0.0,10.0,10.0
00004128,2025,2,data\raw\Capacidad\ConsultaA_2025_v22.csv,21269,CA_CAMAS,0.0,10.0,10.0
00004129,2025,2,data\raw\Capacidad\ConsultaA_2025_v22.csv,22045,CA_CAMAS,10.0,0.0,-10.0
00004140,2018,6,data\raw\Capacidad\ConsultaA_Recurso_Salud_2018_v2.csv,4260,CA_CAMAS,27.0,115.0,88.0
00004140,2021,6,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,22252,CA_CAMAS,23.0,53.0,30.0
00004223,2021,2,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,7862,CA_CAMAS,7.0,21.0,14.0
00004249,2018,8,data\raw\Capacidad\ConsultaA_Recurso_Salud_2018_v2.csv,20036,CA_CAMAS,12.0,0.0,-12.0
00004249,2019,8,data\raw\Capacidad\ConsultaA_Recurso_Salud_2019_v7.csv,22003,CA_CAMAS,0.0,10.0,10.0
00004249,2019,9,data\raw\Capacidad\ConsultaA_Recurso_Salud_2019_v7.csv,21498,CA_CAMAS,10.0,0.0,-10.0
00004249,2020,1,data\raw\Capacidad\ConsultaA_Recursos_Salud_2020_v7.csv,6192,CA_CAMAS,0.0,12.0,12.0
00004249,2023,5,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,13454,CA_CAMAS,13.0,0.0,-13.0
00004249,2023,6,data\raw\Capacidad\ConsultaA_Recursos_Salud_2023_v24.csv,12213,CA_CAMAS,0.0,13.0,13.0
00004370,2025,6,data\raw\Capacidad\ConsultaA_2025_v22.csv,12333,CA_CAMAS,5.0,134.0,129.0
00004466,2022,3,data\raw\Capacidad\ConsultaA_Recursos_Salud_2022_v24.csv,1995,CA_CAMAS,17.0,35.0,18.0
00004655,2021,1,data\raw\Capacidad\ConsultaA_Recursos_Salud_2021_v19.csv,3859,CA_CAMAS,24.0,52.0,28.0
