variable,importancia
categoricas__id_hospitalizacion_222800,0.0
categoricas__id_hospitalizacion_222400,0.0
categoricas__id_hospitalizacion_221601,0.0
categoricas__codigo_ipress_00005947,0.0
categoricas__codigo_ipress_00005945,0.0
categoricas__codigo_ipress_00005883,0.0
categoricas__codigo_ipress_00005842,0.0
categoricas__codigo_ipress_00005821,0.0
categoricas__codigo_ipress_00005817,0.0
categoricas__codigo_ipress_00005816,0.0
categoricas__codigo_ipress_00005814,0.0
categoricas__codigo_ipress_00005799,0.0
categoricas__codigo_ipress_00005791,0.0
categoricas__codigo_ipress_00005772,0.0
categoricas__codigo_ipress_00005755,0.0
categoricas__codigo_ipress_00005742,0.0
categoricas__codigo_ipress_00005735,0.0
categoricas__codigo_ipress_00005644,0.0
categoricas__id_hospitalizacion_240300,0.0
categoricas__id_hospitalizacion_242203,0.0
categoricas__id_hospitalizacion_242202,0.0
categoricas__id_hospitalizacion_242201,0.0
categoricas__id_hospitalizacion_241700,0.0
categoricas__id_hospitalizacion_241300,0.0
categoricas__id_hospitalizacion_241100,0.0
categoricas__id_hospitalizacion_240801,0.0
categoricas__id_hospitalizacion_240600,0.0
categoricas__id_hospitalizacion_240500,0.0
categoricas__codigo_ipress_00005617,0.0
categoricas__categoria_ipress_I-3,0.0
categoricas__categoria_ipress_I-2,0.0
categoricas__sector_SANIDAD DE LA FUERZA AEREA DEL PERU,0.0
categoricas__id_hospitalizacion_243100,0.0
categoricas__distrito_VILLA MARIA DEL TRIUNFO,0.0
categoricas__distrito_SANTIAGO DE SURCO,0.0
categoricas__distrito_SANTA ANITA,0.0
categoricas__distrito_SAN MIGUEL,0.0
categoricas__distrito_SAN JUAN DE MIRAFLORES,0.0
categoricas__distrito_SAN JUAN DE LURIGANCHO,0.0
categoricas__distrito_SAN BARTOLO,0.0
categoricas__distrito_PUEBLO LIBRE,0.0
categoricas__distrito_PUCUSANA,0.0
categoricas__distrito_MIRAFLORES,0.0
categoricas__id_hospitalizacion_242900,0.0
categoricas__id_hospitalizacion_242800,0.0
categoricas__id_hospitalizacion_242700,0.0
categoricas__id_hospitalizacion_242205,0.0
categoricas__id_hospitalizacion_242204,0.0
categoricas__id_hospitalizacion_245000,0.0
categoricas__id_hospitalizacion_244800,0.0
categoricas__id_hospitalizacion_244600,0.0
categoricas__id_hospitalizacion_244500,0.0
categoricas__id_hospitalizacion_244400,0.0
categoricas__id_hospitalizacion_244300,0.0
categoricas__id_hospitalizacion_244200,0.0
categoricas__id_hospitalizacion_244100,0.0
categoricas__id_hospitalizacion_244000,0.0
categoricas__id_hospitalizacion_243800,0.0
categoricas__id_hospitalizacion_243700,0.0
categoricas__id_hospitalizacion_243600,0.0
categoricas__id_hospitalizacion_243500,0.0
categoricas__id_hospitalizacion_243400,0.0
categoricas__id_hospitalizacion_243300,0.0
categoricas__id_hospitalizacion_250110,0.0
categoricas__id_hospitalizacion_250109,0.0
categoricas__id_hospitalizacion_250108,0.0
categoricas__id_hospitalizacion_250107,0.0
categoricas__id_hospitalizacion_250106,0.0
categoricas__id_hospitalizacion_250105,0.0
categoricas__id_hospitalizacion_250103,0.0
categoricas__id_hospitalizacion_250102,0.0
categoricas__id_hospitalizacion_250101,0.0
categoricas__id_hospitalizacion_250100,0.0
categoricas__id_hospitalizacion_245700,0.0
categoricas__id_hospitalizacion_245600,0.0
categoricas__id_hospitalizacion_245500,0.0
categoricas__id_hospitalizacion_245400,0.0
categoricas__id_hospitalizacion_245200,0.0
categoricas__id_hospitalizacion_245100,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-GINECOLOGÍA GENERAL-GINECOLOGÍA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-GASTROENTEROLOGÍA-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-CIRUGÍA PLÁSTICA,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-CIRUGÍA PEDIÁTRICA-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-CIRUGÍA GENERAL-,0.0
categoricas__servicio_hospitalizacion_CONSULTA EXTERNA-CIRUGÍA DE TÓRAX Y CARDIOVASCULAR,0.0
