variable,anio_prueba,importancia_f1_macro_media,importancia_f1_macro_std,f1_macro_sin_permutar,n_test,n_muestra,repeticiones,random_state,metodo,es_causal,conjunto
promedio_pacientes_camas_3m,2021,0.004245939098586467,0.0027472063421535697,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
promedio_camas_disponibles_3m,2021,0.0011616500506429484,0.0007892477051005466,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
meses_alto_ultimos_3m,2021,-0.0007418479941446362,0.0007775433468039864,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
meses_alto_ultimos_6m,2021,-0.0024369631719471188,0.0004686156697248083,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
meses_medio_alto_ultimos_3m,2021,0.0016717343952816395,0.000379929351624646,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
meses_consecutivos_alto,2021,0.005063383731844229,0.0008119442145028228,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
margen_umbral_alto,2021,0.0027565280791727784,0.00420887963505972,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
margen_umbral_medio,2021,0.0005544477183156241,0.0005138035352787818,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
distancia_absoluta_umbral_alto,2021,0.0034865175200253042,0.0033155125092762415,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
crecimiento_demanda_1m,2021,0.004121170497984994,0.0025318343697253113,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
crecimiento_capacidad_1m,2021,0.0015817426274720898,0.0012847749335762448,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
brecha_crecimiento_demanda_capacidad,2021,0.001200906654080088,0.0010461041419212828,0.7096648703632579,3996,1000,3,42,permutacion_en_test_temporal,False,D
anio,2022,0.0,0.0,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
mes,2022,0.00033267654616964126,0.003981560802295149,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
departamento,2022,0.0,0.0,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
provincia,2022,0.0,0.0,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
distrito,2022,-0.0053635824938884635,0.003968612931369492,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
sector,2022,-0.005100402391050252,0.0032030317823649687,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
categoria_ipress,2022,-0.006171018518522864,0.003343670134928756,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
servicio_hospitalizacion,2022,-0.006015260682837938,0.003767347155859617,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
total_ingresos,2022,-0.0012145555744471996,0.0016662230331220712,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
total_egresos,2022,-0.0018349772682527687,0.002362127306264119,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
total_estancias,2022,-0.004204894985057495,0.0008346138487757579,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
total_pacientes_camas,2022,-0.0031201666909795125,0.0020767096063253137,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
total_camas,2022,-0.004220095304638405,0.001074512923772244,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
total_camas_disponibles,2022,-0.002613002361584941,0.0026274795098727914,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
total_fallecidos,2022,-0.005290201857012085,0.0015517274824601687,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
dias_mes,2022,0.0010419245723189234,0.0016310193933402807,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
promedio_estancia,2022,-0.0012417596165753182,0.00024364019674877628,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
tasa_fallecidos,2022,-0.0026147471855627233,0.00259069887978968,0.6912024146387475,4397,1000,3,42,permutacion_en_test_temporal,False,D
